Name,Number,Date,Days Since E3,Game Added,3rd Party?,Newcomer?,Returning Vet?,Echo?,Game Count,Series,Type
Inkling,64,6/12/18,0,Ultimate,FALSE,TRUE,FALSE,FALSE,1,Splatoon,Fighter
Ridley,65,6/13/18,1,Ultimate,FALSE,TRUE,FALSE,FALSE,1,Metroid,Fighter
Daisy,13.5,6/14/18,2,Ultimate,FALSE,TRUE,FALSE,TRUE,1,Super Mario,Echo
Mario,1,6/18/18,6,64,FALSE,FALSE,FALSE,FALSE,5,Super Mario,Fighter
Link,3,6/20/18,8,64,FALSE,FALSE,FALSE,FALSE,5,Legend of Zelda,Fighter
Ice Climbers,15,6/21/18,9,Melee,FALSE,FALSE,TRUE,FALSE,3,Ice Climber,Fighter
Corrin,62,6/24/18,12,Wii U,FALSE,FALSE,FALSE,FALSE,2,Fire Emblem,Fighter
Snake,31,6/25/18,13,Brawl,TRUE,FALSE,TRUE,FALSE,2,Metal Gear,Fighter
Donkey Kong,2,6/28/18,16,64,FALSE,FALSE,FALSE,FALSE,5,Donkey Kong,Fighter
Sonic,38,7/1/18,19,Brawl,TRUE,FALSE,FALSE,FALSE,3,Sonic The Hedgehog,Fighter
Falco,20,7/2/18,20,Melee,FALSE,FALSE,FALSE,FALSE,4,Star Fox,Fighter
Young Link,22,7/4/18,22,Melee,FALSE,FALSE,TRUE,FALSE,2,Legend of Zelda,Fighter
Pokemon Trainer,34,7/5/18,23,Brawl,FALSE,FALSE,TRUE,FALSE,2,Pokemon,Fighter
Marth,21,7/8/18,26,Melee,FALSE,FALSE,FALSE,FALSE,4,Fire Emblem,Fighter
Kirby,6,7/9/18,27,64,FALSE,FALSE,FALSE,FALSE,5,Kirby,Fighter
Mega Man,46,7/11/18,29,Wii U,TRUE,FALSE,FALSE,FALSE,2,Mega Man,Fighter
Pit,28,7/12/18,30,Brawl,FALSE,FALSE,FALSE,FALSE,3,Kid Icarus,Fighter
Pichu,19,7/15/18,33,Melee,FALSE,FALSE,TRUE,FALSE,2,Pokemon,Fighter
Bowser Jr.,58,7/18/18,36,Wii U,FALSE,FALSE,FALSE,FALSE,2,Super Mario,Fighter
Mii Fighter,51,7/23/18,41,Wii U,FALSE,FALSE,FALSE,FALSE,2,Wii,Fighter
R.O.B.,42,7/25/18,43,Brawl,FALSE,FALSE,FALSE,FALSE,3,Gyromite,Fighter
Captain Falcon,11,7/26/18,44,64,FALSE,FALSE,FALSE,FALSE,5,F-Zero,Fighter
Jigglypuff,12,7/29/18,47,64,FALSE,FALSE,FALSE,FALSE,5,Pokemon,Fighter
Wario,30,8/1/18,50,Brawl,FALSE,FALSE,FALSE,FALSE,3,WarioWare,Fighter
Samus,4,8/5/18,54,64,FALSE,FALSE,FALSE,FALSE,5,Metroid,Fighter
Simon Belmont,66,8/8/18,57,Ultimate,TRUE,TRUE,FALSE,FALSE,1,Castlevania,Fighter
King K. Rool,67,8/8/18,57,Ultimate,FALSE,TRUE,FALSE,FALSE,1,Donkey Kong,Fighter
Richter Belmont,66.5,8/12/18,61,Ultimate,TRUE,TRUE,FALSE,TRUE,1,Castlevania,Echo
Chrom,25.5,8/15/18,64,Ultimate,FALSE,TRUE,FALSE,TRUE,1,Fire Emblem,Echo
Dark Samus,4.5,8/16/18,65,Ultimate,FALSE,TRUE,FALSE,TRUE,1,Metroid,Echo
Villager,45,8/19/18,68,Wii U,FALSE,FALSE,FALSE,FALSE,2,Animal Crossing,Fighter
Dark Pit,28.5,8/20/18,69,Wii U,FALSE,FALSE,FALSE,TRUE,2,Kid Icarus,Echo
Duck Hunt,59,8/22/18,71,Wii U,FALSE,FALSE,FALSE,FALSE,2,Duck Hunt,Fighter
Ness,10,8/26/18,75,64,FALSE,FALSE,FALSE,FALSE,5,Earthbound,Fighter
Peach,13,8/29/18,78,Melee,FALSE,FALSE,FALSE,FALSE,4,Super Mario,Fighter
Wolf,44,8/30/18,79,Brawl,FALSE,FALSE,TRUE,FALSE,2,Star Fox,Fighter
Ike,32,9/2/18,82,Brawl,FALSE,FALSE,FALSE,FALSE,3,Fire Emblem,Fighter
King Dedede,39,9/3/18,83,Brawl,FALSE,FALSE,FALSE,FALSE,3,Kirby,Fighter
Bowser,14,9/9/18,89,Melee,FALSE,FALSE,FALSE,FALSE,4,Super Mario,Fighter
Toon Link,43,9/10/18,90,Brawl,FALSE,FALSE,FALSE,FALSE,3,Legend of Zelda,Fighter
Ryu,60,9/12/18,92,Wii U,TRUE,FALSE,FALSE,FALSE,2,Street Fighter,Fighter
Isabelle,68,9/16/18,96,Ultimate,FALSE,TRUE,FALSE,FALSE,1,Animal Crossing,Fighter
Ganondorf,23,9/19/18,99,Melee,FALSE,FALSE,FALSE,FALSE,4,Legend of Zelda,Fighter
Pikachu,8,9/20/18,100,64,FALSE,FALSE,FALSE,FALSE,5,Pokemon,Fighter
Lucina,21.5,9/25/18,105,Wii U,FALSE,FALSE,FALSE,TRUE,2,Fire Emblem,Echo
Lucario,41,9/27/18,107,Brawl,FALSE,FALSE,FALSE,FALSE,3,Pokemon,Fighter
Sheik,16,10/1/18,111,Melee,FALSE,FALSE,FALSE,FALSE,4,Legend of Zelda,Fighter
